Rep,obs,rearing,substrate,leaf,lmale ,lfemale,soil,smale ,sfemale,root,rmale,rfemale,roomposition
1,1,Barley grain,Maize,0,0,0,11,7,9,0,0,0,4
1,2,Barley grain,Oats,6,4,2,24,11,13,2,0,2,4
1,3,Barley grain,Rice,50,22,28,21,4,17,6,2,4,4
1,4,Barley grain,Milo,8,4,4,0,0,0,0,0,0,4
1,5,Barley grain,nocapture,66,27,39,0,0,0,0,0,0,4
1,6,Barley grain,Milo,18,6,12,5,2,3,5,3,2,2
1,7,Barley grain,Maize,6,3,3,0,0,0,0,0,0,2
1,8,Barley grain,Oats,6,1,5,17,9,8,0,0,0,2
1,9,Barley grain,Rice,58,21,37,17,5,12,6,2,4,2
1,10,Barley grain,nocapture,63,24,29,0,0,0,0,0,0,2
1,11,Barley grain,Rice,48,29,19,17,11,6,0,0,0,1
1,12,Barley grain,Milo,2,2,0,10,4,6,0,0,0,1
1,13,Barley grain,Maize,29,11,18,13,4,9,1,0,1,1
1,14,Barley grain,Oats,2,1,1,21,12,9,2,0,2,1
1,15,Barley grain,nocapture,58,26,32,0,0,0,0,0,0,1
1,16,Barley grain,Oats,14,11,3,19,7,12,4,3,1,3
1,17,Barley grain,Rice,64,38,26,7,6,1,1,0,1,3
1,18,Barley grain,Milo,3,2,1,1,0,1,9,6,3,3
1,19,Barley grain,Maize,2,0,2,16,5,11,4,3,1,3
1,20,Barley grain,nocapture,53,28,25,0,0,0,0,0,0,3
2,21,Barley grain,Maize,2,0,2,3,2,1,8,4,4,2
2,22,Barley grain,Oats,10,2,8,17,4,13,4,3,1,2
2,23,Barley grain,Rice,40,17,23,19,8,11,1,0,1,2
2,24,Barley grain,Milo,8,5,3,1,1,0,0,0,0,2
2,25,Barley grain,nocapture,66,29,37,0,0,0,0,0,0,2
2,26,Barley grain,Milo,10,1,9,7,4,3,0,0,0,4
2,27,Barley grain,Maize,2,1,1,16,5,11,20,4,16,4
2,28,Barley grain,Oats,14,5,9,13,6,6,5,2,2,4
2,29,Barley grain,Rice,25,9,16,14,2,12,11,0,11,4
2,30,Barley grain,nocapture,63,29,34,0,0,0,0,0,0,4
2,31,Barley grain,Rice,39,15,24,12,10,2,3,3,0,3
2,32,Barley grain,Milo,18,4,14,1,0,1,9,5,4,3
2,33,Barley grain,Maize,7,3,3,7,5,2,20,10,10,3
2,34,Barley grain,Oats,19,9,10,21,7,14,1,0,1,3
2,35,Barley grain,nocapture,48,21,26,0,0,0,0,0,0,3
2,36,Barley grain,Oats,8,2,6,7,2,5,3,0,3,1
2,37,Barley grain,Rice,36,16,16,17,6,11,15,6,9,1
2,38,Barley grain,Milo,13,6,7,20,8,12,4,1,3,1
2,39,Barley grain,Maize,5,2,3,14,6,8,2,2,0,1
2,40,Barley grain,nocapture,45,22,23,0,0,0,0,0,0,1
3,41,Barley grain,Maize,5,2,3,9,3,6,5,2,3,4
3,42,Barley grain,Oats,11,5,6,2,2,0,8,5,3,4
3,43,Barley grain,Rice,21,10,6,19,11,8,7,2,5,4
3,44,Barley grain,Milo,12,3,9,22,9,12,11,2,9,4
3,45,Barley grain,nocapture,68,35,31,0,0,0,0,0,0,4
3,46,Barley grain,Milo,32,14,18,20,9,11,27,13,14,1
3,47,Barley grain,Maize,2,2,0,5,2,3,3,1,2,1
3,48,Barley grain,Oats,12,9,3,5,3,2,5,5,0,1
3,49,Barley grain,Rice,11,4,7,24,16,8,7,4,2,1
3,50,Barley grain,nocapture,47,29,18,0,0,0,0,0,0,1
3,51,Barley grain,Rice,16,13,3,10,7,3,13,6,7,2
3,52,Barley grain,Milo,11,11,0,5,2,3,2,1,1,2
3,53,Barley grain,Maize,3,3,0,6,2,4,19,8,11,2
3,54,Barley grain,Oats,19,7,12,10,5,5,19,6,13,2
3,55,Barley grain,nocapture,50,23,27,0,0,0,0,0,0,2
3,56,Barley grain,Oats,21,9,12,6,4,2,15,13,2,3
3,57,Barley grain,Rice,28,19,9,25,9,16,6,4,2,3
3,58,Barley grain,Milo,7,4,3,3,3,0,14,7,7,3
3,59,Barley grain,Maize,4,4,0,18,7,11,6,4,2,3
3,60,Barley grain,nocapture,50,39,11,0,0,0,0,0,0,3
